,qid,qstr,recordid,title,abstract,ranking
24,412,strahlentherapie,M32270223,Intraoperative Strahlentherapie in der Abdominalchirurgie – eigene Erfahrungen.,"['Background!#!Intraoperative radiotherapy (IORT) can be applied for locally advanced tumors and expected or unavoidable R1\xa0situations combined with surgical resection. The aim is to improve local tumor control and long-term survival. The indications are primary and recurrent intra-abdominal and retroperitoneal tumors. This study aimed to evaluate own data and experiences with IORT combined with surgical visceral resection.!##!Methods!#!Patients who underwent IORT combined with abdominal tumor resection in the Department of General and Visceral Surgery at the University Medical Center Freiburg between January 2008 and December 2018 were included in this study. The results were retrospectively evaluated regarding short-term and long-term outcomes.!##!Results!#!The most frequent indications for IORT were sarcoma followed by rectal and anal cancers. The median IORT dose used was 15\u202fGy (range 8-19\u202fGy). With a\xa0median comprehensive complication index (CCI) of 11.9, complications occurred in 24% of patients (Dindo-Clavien\u202f≥\u2009°III). The 90-day mortality was 0%. Especially in recurrent anal cancer the local control after 1 year was insufficient despite R0\xa0resection.!##!Conclusion!#!In this cohort of patients IORT could be applied with acceptable morbidity. Nevertheless, the indications and patient selection are critical factors for carrying out the treatment. The effect of IORT to improve local tumor control and long-term survival should be evaluated in further studies.']",5
25,412,strahlentherapie,M28197671,Rektumperforation : Eine seltene Komplikation nach Strahlentherapie.,"['Background!#!Radiotherapy in the treatment of prostate cancer is well established. Intestinal complications following radiotherapy are divided into acute and chronic toxicity. Chronic complications like perforation and fistula formation to the rectum are rare and difficult to treat.!##!Materials and methods!#!In case of chronic radiotherapy complications and particularly chronic fistula formation to the rectum, evidence is low. Therefore, an overview of the available literature of surgical therapy strategies is given.!##!Results!#!Options for the treatment of acute intestinal toxicity are established and therapy algorithms exist. Therapy of acute rectal perforation covers primary suture repair with or without diversion stoma as well as primary rectal resection with or without primary restoring bowel continuity. In chronic rectal lesions and particularly in fistula formation to the rectum, abdominal treatment strategies are preferred with additional interposition of an omental flap or vascularized muscle flap.!##!Conclusion!#!Although evidence for surgical therapy strategies of the rare chronic rectourethral and rectovesical fistula is low, treatment is a\xa0real interdisciplinary challenge and should be provided in a\xa0specialized center.']",6
28,412,strahlentherapie,M27339645,Rolle der neoadjuvanten Strahlentherapie beim Rektumkarzinom : Ist die MRT-basierte Selektion ein Zukunftsmodell?,"['Following the introduction of total mesorectal excision (TME) in the curative treatment of rectal cancer, the role of neoadjuvant therapy has evolved. By improving the surgical technique the local recurrence rate could be reduced by TME surgery alone to below 8\u2009%. Even if local control was further improved by additional preoperative irradiation this did not lead to a general survival benefit. Guidelines advocate that all patients in UICC stage II and III should be pretreated; however, the stage-based indications for neoadjuvant therapy have limitations. This is mainly attributable to the facts that patients with T3 tumors comprise a very heterogeneous prognostic group and preoperative lymph node diagnostics lack accuracy. In contrast, in recent years the circumferential resection margin (CRM) has become an important prognostic parameter. Patients with tumors that are very close to or infiltrate the pelvic fascia (positive CRM) have a higher rate of local recurrence and poorer survival. With high-resolution pelvic magnetic resonance imaging (MRI) examination in patients with rectal cancer, the preoperative CRM can be determined with a high sensitivity and specificity. Improved T staging and better prediction of the resection margins by pelvic MRI potentially facilitate the selection of patients for study-based treatment strategies omitting neoadjuvant radiotherapy. ']",13
31,412,strahlentherapie,M24871208,Strahlentherapie bei solitärem Plasmozytom und multiplem Myelom.,"['Solitary plasmacytoma and multiple myeloma require a differentiated radiotherapy. The irradiation for plasmacytoma with an adequate total dose (medullary 40-50\xa0Gy or extramedullary 50-60\xa0Gy) leads to a high degree of local control with a low rate of side effects. In cases of multiple myeloma radiotherapy will achieve effective palliation, both in terms of recalcification as well as reduction of neurological symptoms and analgesia. In terms of analgesia the rule is the higher the single dose fraction the faster the reduction of pain. As part of a conditioning treatment prior to stem cell transplantation radiotherapy contributes to the establishment of a graft versus myeloma effect (GVM). ']",7
33,412,strahlentherapie,M21987210,Strahlentherapie des Prostatakarzinoms.,"['With the development of modern radiation techniques, such as intensity-modulated radiotherapy (IMRT), a dose escalation in the definitive radiotherapy of prostate cancer and a consecutive improvement in biochemical recurrence-free survival (BFS) could be achieved. Among others, investigators at the Memorial Sloan-Kettering Cancer Center (MSKCC) saw 5-year BFS rates of up to 98%. A further gain in effectiveness and safety is expected of hypofractionation schedules, as suggested by data published by Kupelian et al., who saw a low 5-year rate of grade ≥2 rectal side-effects of 4.5%. However, randomized studies are just beginning to mature. Patients with intermediate or high-risk tumors should receive neoadjuvant (NHT) and adjuvant (AHT) androgen deprivation. Bolla et al. could show an increase in 5-year overall survival from 62-78%. The inclusion of the whole pelvis in the treatment field (WPRT) is still controversial. The RTOG 94-13 study showed a significant advantage in disease-free survival after 60 months but long-term data did not yield significant differences between WPRT and irradiation of the prostate alone.The German Society of Urology strongly recommends adjuvant radiotherapy of the prostate bed for pT3 N0 tumors with positive margins. In a pT3 N0 R0 or pT2 N0 R+ situation, adjuvant radiotherapy should at least be considered. So far, no randomized data on NHT and AHT have been published, so androgen deprivation remains an individual decision in the postoperative setting. In a retrospective analysis Spiotto et al. reported a positive effect for adjuvant WPRT and biochemical control.This article summarizes the essential publications on definitive and adjuvant radiotherapy and discusses the additional use of androgen deprivation and WPRT.']",11
39,412,strahlentherapie,M17492410,Strahlentherapie beim Prostatakarzinom.,"['Depending on tumor-stage and risk-factors, prostate cancer can be treated by Radical Prostatectomy, External Beam Radiotherapy, Brachytherapy, Androgen Ablation or a combination of at least two of them. In clinically localized low-risk cases, the results of radiotherapy and surgery are very similar. Patients with intermediate-risk or high-risk prostate cancer, often not suited for radical prostatectomy, seem to benefit from higher radiation doses and additional Androgen ablation, although questions remain regarding the treatment volume of radiotherapy and the optimal timing and duration of androgen deprivation. Standardised target volume definitions and dose prescriptions for different risk groups and improved patient selection for radiotherapy are required.']",
43,412,strahlentherapie,M27783117,Harnröhrenstrikturen nach Strahlentherapie.,"['Radiation-induced urethral stricture occurs most often due to radiation for prostate cancer. It is one of the most common side effects of radiotherapy. Stricture rates are lowest in patients undergoing external beam radiation therapy, occur more frequently in those who require brachytherapy and show highest stricture rates in patients receiving a\xa0combination of external beam radiation and brachytherapy. Strictures are mostly located at the bulbomembranous part of the urethra. Diagnostic work-up should include basic urologic work-up, ultrasound, uroflowmetric assessment, urethroscopy, retrograde urethrogram and voiding cystourethrography. Endoscopic management such as dilatation and internal urethrotomy has been proposed in short strictures. However these therapies have a\xa0high risk for recurrence. The success rate of urethroplasty is higher. Success rates of primary end-to-end anastomosis (EPA) have been reported to be 70-95\u2009%; rates of incontinence are 7-40\u2009%. While success rates of buccal mucosa graft urethroplasty (BMGU) range from 71-78\u2009%, postoperative incontinence occurs in 10.5-44\u2009%. Usually, postoperative incontinence can successfully be treated with an artificial urinary sphincter. It seems like EPA is the treatment of choice for short urethral strictures, whereas BMGU is indicated in longer, more complex strictures. Patients should be counselled with regard to length and location of strictures as well as with regard to postoperative incontinence.']",
44,412,strahlentherapie,M20628725,Strahlentherapie des Bronchialkarzinoms.,"['At first presentation and primary diagnosis approximately 50% of patients with non-small cell lung carcinoma (NSCLC) and 25% of patients with small cell lung carcinoma (SCLC) have a potentially curable tumor stage. Definitive, adjuvant and neoadjuvant radio- (chemo-)therapy play an important role as part of multimodal treatment approaches. High radiation doses can be achieved in tumor areas with modern radiotherapy planning and treatment techniques without an increase of side-effects. The 3 year overall survival after primary radiotherapy is approximately 50% for patients with NSCLC in stage I and 20% in stage IIIA. Radiotherapy can be used in patients with progressive metastatic disease after insufficient response to systemic therapy with threatening thoracic symptoms and for palliative treatment of cerebral, lymphatic and osseous metastases.']",
46,412,strahlentherapie,M30919000,"Strahlentherapie nach Tumorendoprothesen – Stellenwert, Indikation, Koordination.","['Background!#!Patients with complex tumour prostheses often require radiotherapy or radiochemotherapy.!##!Objectives!#!Possible tumour diagnoses, indications, planning and therapy procedures, and prognosis of radiotherapy in the context of an interdisciplinary treatment for bone sarcomas are reviewed, including interactions of metal prostheses with radiation and possible subsequent complications.!##!Methods!#!Literature search, summary of personal experience.!##!Results!#!Complex prosthetic procedures are usually applied to patients suffering from Ewing sarcoma or osteosarcoma. In patients with Ewing sarcoma, radiotherapy is an integral part of multimodal treatment, while in patients with osteosarcoma radiotherapy is indicated in special situations. Planning and implementation of radiotherapy treatment can be impaired by metal implants within the target volume (artefacts in the planning computerized tomography, interaction of metal with the therapeutic beam). However, it is-to our knowledge-a\xa0point of debate whether radiotherapy after implantation of a\xa0prosthesis could impair healing or prosthesis fixation to bone. The data available in the literature suggest that prostheses implanted after radiotherapy entail a\xa0higher rate of complications. Multidisciplinary treatment improves the prognosis for these patients markedly.!##!Conclusions!#!Patients with sarcomas of the bone undergoing interdisciplinary treatment consisting of surgery, radiotherapy and chemotherapy have a\xa0favourable prognosis and an acceptable functionality of the limb can be expected.']",
49,412,strahlentherapie,M26193115,Kurzer historischer Rückblick der Strahlentherapie intraokularer Tumoren.,"['For many decades, radiotherapy with its different modalities has proved to be the gold standard in the treatment of benign and malignant intraocular tumours. The various complicated therapeutic developments in this field cover a period of over 100 years and the present year deserves special mention because of the 100th anniversary of the first mention of a successful brachytherapy for a uveal melanoma by R. Deutschmann in Hamburg in 1915. ']",
53,412,strahlentherapie,M32268387,"Indikation zur prä-, post- und intraoperativen Strahlentherapie von Liposarkomen des Erwachsenenalters.","['Radiation therapy is an integral part of the treatment of soft tissue sarcomas in adults. The indication for additional radiation therapy has usually been based on known general prognostic factors, such as tumour size, localisation, grading and (anticipated) resection margin. Increasing attention has recently been paid to the role of the histological subtype. Moreover, radiation therapy techniques have distinctly improved, so that in some localisations adequate treatment has become possible for the first time. This review firstly summarises general treatment principles of radiation therapy in soft tissue sarcomas - separately for the extremities and trunk and the retroperitoneum. We discuss the available evidence for the administration of additional radiation per se, the preferred timing (pre- vs. postoperative) and fundamental technical principles, including alternative boosting techniques like intraoperative radiation therapy. Moreover, we provide a detailed discussion of the indication and procedure for additional radiation therapy in liposarcomas. We describe fundamental differences between liposarcomas and other soft tissue sarcomas as well as between the subgroups of liposarcoma (well differentiated, dedifferentiated, myxoid, pleomorphic), and how this affects the indication and procedure for additional radiation therapy, in order to provide a panoramic aid to orientation.']",
54,412,strahlentherapie,M29946893,"Planungszielvolumen : Management von Ungenauigkeiten, Immobilisierung, bildgeführte und adaptive Strahlentherapie.","[""Clinical/methodical issue!#!As a\xa0standard, today's radiation therapy is based on CT images which are used for therapy planning. These images are obtained once before therapy starts and serve as a\xa0basis to obtain the position and shape of the target volume. As the patient has to be positioned anew for each fraction, deviations of the tumor position relative to the radiation field but also internal motion of the tumor may occur. These deviations lead to uncertainties, which are taken into account by adding a\xa0safety margin around the clinical target volume (CTV) to create the planning target volume (PTV).!##!Standard radiological methods!#!As a\xa0standard today, CT-based treatment planning is used, where images are obtained once prior to therapy. The information on tumor position and shape, which is obtained from these images, is used throughout the whole cycle of radiation therapy without any change. This cycle may last several weeks.!##!Methodical innovations!#!By repeated imaging of the patient in the treatment position prior to each fraction, the position of the tumor can be assessed and corrected for each fraction.!##!Performance!#!A\xa0reduction of positioning uncertainty may be used to reduce the safety margin. This leads to a\xa0decreased volume of irradiated normal tissue.!##!Achievements!#!A\xa0reduced volume of irradiated normal tissue leads to reduced side effects and provides the opportunity of increased tumor control by dose escalation.!##!Practical recommendations!#!Before the PTV is reduced, a\xa0detailed analysis of the uncertainties for the specific imaging method and radiation technique must be performed.""]",
59,412,strahlentherapie,M22374083,Bildgeführte Strahlentherapie.,"['Radiotherapy technology has improved rapidly over the past two decades. New imaging modalities, such as positron emission (computed) tomography (PET, PET-CT) and high-resolution morphological and functional magnetic resonance imaging (MRI) have been introduced into the treatment planning process. Image-guided radiation therapy (IGRT) with 3D soft tissue depiction directly imaging target and normal structures, is currently replacing patient positioning based on patient surface markers, frame-based intracranial and extracranial stereotactic treatment and partially also 2D field verification methods. On-line 3D soft tissue-based position correction unlocked the full potential of new delivery techniques, such as intensity-modulated radiotherapy, by safely delivering highly conformal dose distributions that facilitate dose escalation and hypofractionation. These strategies have already resulted in better clinical outcomes, e.g. in prostate and lung cancer and are expected to further improve radiotherapy results.']",
62,412,strahlentherapie,M25658231,Adjuvante vs. Salvage-Strahlentherapie nach radikaler Prostatektomie.,"['Background!#!After radical prostatectomy (RP) the pre-RP PSA value, Gleason Score, pT-stage, state of seminal vesicles and state of surgical margins are key indicators for the risk of biochemical or clinical recurrence. Depending on the tumour stage, 50-70% of the high-risk patients suffer biochemical progression. The treatment options in these circumstances are adjuvant radiotherapy (ART, for an undetectable PSA) or salvage radiotherapy (SRT, for persisting PSA or PSA re-rising above detection limits). Data from ongoing randomised trials that compare ART and SRT directly have not yet been published.!##!Method!#!A search in PubMed for ART and SRT after RP for prostate cancer was undertaken to compare the results of the 2 treatment approaches.!##!Results!#!3 randomised phase-III studies have shown a nearly 20% advantage in terms of biochemical progression after ART (60-64\u2009Gy) compared with a wait-and-see strategy. The largest effect was seen in patients with pT3 prostate cancer with positive surgical margins. According to the German S3-guidelines, SRT with at least 66\u2009Gy can be offered to patients with a post-RP persisting PSA or a PSA re-rising above detection limits. 30-70% of these patients re-achieve an undetectable PSA. Thus, there is a second option for curative treatment. Due to the lower total dose, ART seems to be connected with fewer late complications than SRT. SRT, on the other hand, reduces the risk of potential interactions with post-RP complications and of overtreatment. There is a controversial discussion about the inclusion of the pelvic lymph nodes in the treatment volume, the additional application of anti-androgens and the total dose of both ART and SRT.!##!Conclusions!#!The comparison of SRT after PSA progression with ART at a PSA below the detection limits cannot yet be judged conclusively. The indication for ART depends on the associated risk factors. However, regarding freedom from biochemical progression, it is backed up by high level evidence. If SRT is applied for biochemical progression, then it should be initiated early, i.\u2009e., at the lowest PSA possible.']",
65,412,strahlentherapie,M28958106,Stereotaktische Strahlentherapie bei Lungenkrebs im Stadium I – gibt es eine Evidenz?,"['Stereotactic body radiotherapy (SBRT) was first described in the mid 90s as a technique using high precision radiotherapy to deliver escalated, ablative irradiation doses and which simultaneously minimised incidental irradiation of healthy tissue. Technological and clinical development of this technique has been pioneered in the field of early stage non-small cell lung cancer, where improved local tumor control led to prolonged overall survival. Today, SBRT is the evidence-based and guideline-recommended treatment of choice for early stage NSCLC in patients who are medically inoperable. SBRT has been demonstrated to be a safe and effective curative treatment option, even for very elderly patients and patients with severe comorbidities. Only patients with very short survival expectancy should not be offered SBRT. Increasing evidence suggests that the outcome is similar or equivalent for surgical lobectomy and SBRT in operable patients; however, SBRT is currently only recommended for patients refusing surgical resection. Many clinical trials are currently evaluating the value of SBRT in clinical settings other than early stage NSCLC, e.g. oligometastases and oligoprogression.']",
67,412,strahlentherapie,M22618627,Strahlentherapie des Rektumkarzinoms.,"['Clinical issue!#!Despite improved screening options, most patients with rectal cancer are diagnosed at a locally advanced disease stage.                                               STANDARD TREATMENT/PRACTICAL RECOMMENDATIONS:                          The treatment strategy includes preoperative radiochemotherapy as a cornerstone in order to improve sphincter preservation and local control. It is evident that radiotherapy can achieve improved local control even if optimal surgery (total mesorectal excision TME) is performed.                                               TREATMENT INNOVATIONS, FUTURE PROSPECTS:                          Whether the neoadjuvant therapy should be applied as a long-term or short-term schedule is controversially discussed. The benefit of newer agents to improve systemic control is still under investigation. Modern radiotherapy techniques increase the effectiveness of radiochemotherapy and may reduce therapy-associated toxicity.']",
68,412,strahlentherapie,M25437837,Veränderungen des Schmeckvermögens durch IM-/IG-Strahlentherapie bei Kopf-Hals-Tumorpatienten.,"['Objective!#!Taste dysfunction is a common side effect during irradiation of head and neck. Our aim was to determine the time-dependent course and a possible dependency of this side effect to the radiation-dose during irradiation with helical tomotherapy.!##!Patients and methods!#!31 patients with malignant tumours in the region of head and neck received an IG-/IM-radiotherapy (helical tomotherapy).The median total dose was 63 Gy (range 30-66 Gy). For all patients the subjective taste dysfunction was documented and correlated to the median (D50) tongue dose.!##!Results!#!A subjective taste dysfunction was registered by the patients themselves after 9 BT (days of radiotherapy) (median). This correlates to a mean dose (D50) of 15.3 Gy (back third of tongue (back ZD)), 11.3 Gy (middle ZD), 8.2 Gy (front ZD). A subjective ageusia occurred after 15 BT (median) (28.9 Gy (back ZD), 22.2 Gy (middle ZD), 17.7 Gy (front ZD)). A starting recovery was registered by 77% of the patients in the first 6-8 weeks after the end of radiotherapy.!##!Conclusion!#!The time-dependent course of taste dysfunction during radiotherapy and the following recovery is predictable. A dependency of taste dysfunction to radiation-dose exists. Based on the collected data a targeted dose reduction to the tongue with a view to minimize the taste dysfunction is thinkable and aim of further studies.']",
69,412,strahlentherapie,M29947933,Nebenwirkungen nach Strahlentherapie in der Bildgebung.,"['Background!#!Peritumoral normal tissue is inevitably also irradiated during radiotherapy, depending on the location and size of the target volume as well as the cumulative dose. Depending on the temporal course after irradiation acute, subacute, and chronic alterations are described in co-irradiated normal tissue that can be detected by imaging. Radiation damage can be transient or persistent.!##!Objective!#!This article gives an overview of the most important signs of radiation-induced radiogenic alterations to tissue in various organ systems.!##!Findings!#!Frequent radiation-induced tissue alterations found by imaging are pneumonitis, disturbance of the blood-brain barrier, radionecrosis of brain tissue, radiogenic liver damage, mucositis, colitis, osteitis, osteoradionecrosis and myositis. The combination with systemic chemotherapy or immunotherapy can increase the severity of radiogenic reactions of normal tissue.!##!Recommendations for aftercare!#!The most important differential diagnosis for radiogenic alterations to normal tissue is post-therapeutic tumor recurrence. Besides typical latency periods, location and matching with the radiation field are important differentiation criteria, depending on the tumor biology and the radiation technique. The follow-up schedule should follow the current guidelines and the clinical condition of the patient should be additionally considered. The radiologist needs to be familiar with the typical imaging morphology of radiogenic tissue changes to avoid false interpretation during follow-up investigations.']",
73,412,strahlentherapie,M29951925,Zielvolumenkonzepte in der Strahlentherapie und ihre Bedeutung für die Bildgebung.,"['Clinical issue!#!Successful radiotherapy requires precise localization of the tumor and requires high-quality imaging for developing a treatment plan.!##!Standard treatment!#!Irradiation of the tumor region, including a\xa0safety margin.!##!Treatment innovations!#!The target volume consists of the gross tumor volume (GTV) containing visible parts of the tumor, the clinical target volume (CTV) covering the GTV plus invisible tumor extensions, and the planning target volume (PTV) to account for uncertainties. The non-GTV parts of the CTV are based on historical patient data. The PTV margins are based on a\xa0calculation of possible uncertainties during planning, setup, or treatment. Normal tissue deserves the identical care in contouring, since its tolerance may limit the tumor dose, taking into account the contours of organs at risk. Serial risk organs benefit from defining a\xa0planning organ of risk volume (PRV) to better limit the dose delivered to them.!##!Diagnostic work-up!#!The better the imaging, the more reliable the definition of the GTV and treatment success will be. Multiple imaging sequences are desirable to support the delineation of the tumor. They may result in different CTVs that, depending on their tumor burden, may require different doses.!##!Performance!#!The definition of standardized target volumes according to the ICRU reports\xa050, 62, and 83 forms the basis for an individualized radiation treatment planning according to unified criteria on a\xa0high-quality level.!##!Achievements!#!Radio-oncology is by nature interdisciplinary, the diagnostic radiologist being an indispensable team partner. A\xa0regular dialogue between the disciplines is pivotal for target volume definition and treatment success.!##!Practical recommendations!#!Imaging for target volume definition requires highest quality imaging, the use of functional imaging methods and close cooperation with a\xa0diagnostic radiologist experienced in this field.']",
